,client_id,order_id,system_trade_id,strategy_trade_id,order_type,order_status,transaction_type,share_name,price,qty,fill_qty,stoploss,fill_time,instrument_type
2,S705342,210526000691851,167df2a3-a1bd-41ba-8063-22cad0cd30c0,bb591bae-bdee-11eb-9014-acde48001122,MARKET,complete,BUY,IDEA-EQ,,2,,8.45,,FNO
3,S705342,210526000696161,fc5f8589-6ea5-479a-9ac0-c38339f12e22,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:09,FNO
6,S705342,210526000696021,3b078282-ceda-4ba4-bfed-dafe7aa0aadb,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:06,FNO
10,S705342,210526000696128,7ec7ae40-e9fe-45ce-b6da-8784089347f2,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:08,FNO
15,S705342,210526000696055,e3ab1447-cf6a-4269-bef3-b30149247bdc,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:06,FNO
17,S705342,210526000696034,b3aa5db8-a1f3-4557-9488-363501bdbd5c,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:06,FNO
22,S705342,210526000696080,1a8b755d-0284-4600-b917-9f2b1cd66096,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:07,FNO
23,S705342,210526000696314,eb7ad9dd-e576-4a61-a098-93898e73e7b8,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:14,FNO
25,S705342,210526000696141,c307fdb0-38c2-49e7-9a2c-b96ad5b63b58,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:09,FNO
28,S705342,210526000696083,26ac300e-8f8a-4538-98f2-57e538c7bf88,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:07,FNO
40,S705342,210526000696207,da85a4b1-1576-4111-b4e6-fde65ad901e3,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:11,FNO
46,S705342,210526000696199,2ed686cc-3700-4754-843f-f135d62c413b,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:10,FNO
105,S705342,210526000696615,be00d5a1-003c-48ce-a849-f727dd3d1e17,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:22,FNO
4219,S705342,210526000777415,50818314-dc2c-4584-b503-63f21fd51b4c,d87089c0-bdf3-11eb-9da8-acde48001122,MARKET,complete,BUY,IDEA-EQ,8.55,2,2,8.45,26-May-2021 12:57:38,EQUITY
4220,S705342,210526000781303,51fa98fa-0697-454e-a55d-0bd960f620fb,d87089c0-bdf3-11eb-9da8-acde48001122,SL_LIMIT,complete,SELL,IDEA-EQ,8.5,1,1,8.45,26-May-2021 12:59:42,EQUITY
4223,S705342,210526000849667,a1ca5785-092d-4201-84a7-fd7b7eef2b19,d4a88af4-bdf8-11eb-a30a-acde48001122,MARKET,complete,SELL,IDEA-EQ,8.5,1,1,8.45,26-May-2021 13:34:14,EQUITY
2,S705342,210526000691851,167df2a3-a1bd-41ba-8063-22cad0cd30c0,bb591bae-bdee-11eb-9014-acde48001122,MARKET,complete,BUY,IDEA-EQ,,2,,8.45,,FNO
3,S705342,210526000696161,fc5f8589-6ea5-479a-9ac0-c38339f12e22,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:09,FNO
6,S705342,210526000696021,3b078282-ceda-4ba4-bfed-dafe7aa0aadb,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:06,FNO
10,S705342,210526000696128,7ec7ae40-e9fe-45ce-b6da-8784089347f2,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:08,FNO
15,S705342,210526000696055,e3ab1447-cf6a-4269-bef3-b30149247bdc,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:06,FNO
17,S705342,210526000696034,b3aa5db8-a1f3-4557-9488-363501bdbd5c,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:06,FNO
22,S705342,210526000696080,1a8b755d-0284-4600-b917-9f2b1cd66096,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:07,FNO
23,S705342,210526000696314,eb7ad9dd-e576-4a61-a098-93898e73e7b8,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:14,FNO
25,S705342,210526000696141,c307fdb0-38c2-49e7-9a2c-b96ad5b63b58,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:09,FNO
28,S705342,210526000696083,26ac300e-8f8a-4538-98f2-57e538c7bf88,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:07,FNO
40,S705342,210526000696207,da85a4b1-1576-4111-b4e6-fde65ad901e3,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:11,FNO
46,S705342,210526000696199,2ed686cc-3700-4754-843f-f135d62c413b,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:10,FNO
105,S705342,210526000696615,be00d5a1-003c-48ce-a849-f727dd3d1e17,bb591bae-bdee-11eb-9014-acde48001122,SL_LIMIT,complete,BUY,IDEA-EQ,8.55,1,1,8.45,26-May-2021 12:23:22,FNO
4219,S705342,210526000777415,50818314-dc2c-4584-b503-63f21fd51b4c,d87089c0-bdf3-11eb-9da8-acde48001122,MARKET,complete,BUY,IDEA-EQ,8.55,2,2,8.45,26-May-2021 12:57:38,EQUITY
