,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
6843,519367,TRANSFD,TRANSFD,,-1.0,1,,BSE,5.0
6844,936556,0LTFL22B,0LTFL22B,,-1.0,1,,BSE,1.0
6845,542430,H1154D43RD,H1154D43RD,,-1.0,1,,BSE,1.0
6846,540781,NIVBGP,NIVBGP,,-1.0,1,,BSE,1.0
6847,514358,EVERLON,EVERLON,,-1.0,1,,BSE,1.0
6848,960045,88PSEPL29,88PSEPL29,,-1.0,1,,BSE,1.0
6849,949532,11JKCL2023A,11JKCL2023A,,-1.0,1,,BSE,1.0
6850,543206,SFMP34DD,SFMP34DD,,-1.0,1,,BSE,1.0
6851,951096,890ICICI25A,890ICICI25A,,-1.0,1,,BSE,1.0
6852,533576,VASWANI,VASWANI,,-1.0,1,,BSE,1.0
6853,936062,950SEFL27,950SEFL27,,-1.0,1,,BSE,1.0
6854,542161,H1232D43RG,H1232D43RG,,-1.0,1,,BSE,1.0
6855,804415,364TB030321,364TB030321,,-1.0,10,,BSE,5.0
6856,500159,METROGLOBL,METROGLOBL,,-1.0,1,,BSE,5.0
6857,949236,940RCL2023A,940RCL2023A,,-1.0,1,,BSE,1.0
6858,533022,20MICRONS,20MICRONS,,-1.0,1,,BSE,5.0
6859,956814,785PVRL22,785PVRL22,,-1.0,1,,BSE,1.0
6860,951847,16BPPL2022,16BPPL2022,,-1.0,1,,BSE,1.0
6861,542933,UNIVPHOTO,UNIVPHOTO,,-1.0,1,,BSE,5.0
6862,958996,0ARIPL20,0ARIPL20,,-1.0,1,,BSE,1.0
6863,543280,NAZARA,NAZARA,,-1.0,1,,BSE,5.0
6864,959580,925VHFCL23A,925VHFCL23A,,-1.0,1,,BSE,1.0
6865,542033,T56CD,T56CD,,-1.0,1,,BSE,1.0
6866,958664,91PFC29,91PFC29,,-1.0,1,,BSE,1.0
6867,538874,NEXUSSURGL,NEXUSSURGL,,-1.0,1,,BSE,1.0
6868,541150,H1208D39RQ,H1208D39RQ,,-1.0,1,,BSE,1.0
6869,512279,NNTL,NNTL,,-1.0,1,,BSE,1.0
6870,524080,HARLETH,HARLETH,,-1.0,1,,BSE,5.0
6871,500777,TNPETRO,TNPETRO,,-1.0,1,,BSE,5.0
6872,936596,965SCUF22,965SCUF22,,-1.0,1,,BSE,1.0
6873,511131,KAMANWALA,KAMANWALA,,-1.0,1,,BSE,1.0
6874,541766,NXXVIII10X,NXXVIII10X,,-1.0,1,,BSE,1.0
6875,541271,H1183D39DD,H1183D39DD,,-1.0,1,,BSE,1.0
6876,958741,132829PFS22,132829PFS22,,-1.0,1,,BSE,1.0
6877,543257,IRFC,IRFC,,-1.0,1,,BSE,5.0
6878,959525,875DBL23,875DBL23,,-1.0,1,,BSE,1.0
6879,959515,165PFSPL25,165PFSPL25,,-1.0,1,,BSE,1.0
6880,959716,1104CIFC23,1104CIFC23,,-1.0,1,,BSE,1.0
6881,804310,364TB024621,364TB024621,,-1.0,10,,BSE,5.0
6882,512441,ENBETRD,ENBETRD,,-1.0,1,,BSE,5.0
6883,959755,MFL10JUL20,MFL10JUL20,,-1.0,1,,BSE,1.0
6884,542031,T56CC,T56CC,,-1.0,1,,BSE,1.0
6885,954052,961ECL26,961ECL26,,-1.0,1,,BSE,1.0
6886,531221,MAYURFL,MAYURFL,,-1.0,1,,BSE,1.0
6887,935774,1115KFL22,1115KFL22,,-1.0,1,,BSE,1.0
6888,539479,GTV,GTV,,-1.0,1,,BSE,5.0
6889,720633,TVB300421,TVB300421,,-1.0,1,,BSE,1.0
6890,542999,UTMTFS1DMP,UTMTFS1DMP,,-1.0,1,,BSE,1.0
6891,514234,SANGAMIND,SANGAMIND,,-1.0,1,,BSE,5.0
6892,959093,77IFCL22,77IFCL22,,-1.0,2,,BSE,1.0
6893,800313,SGBJAN28,SGBJAN28,,-1.0,1,,BSE,1.0
6894,972775,902REC22,902REC22,,-1.0,1,,BSE,1.0
6895,954725,813PGCIL30,813PGCIL30,,-1.0,1,,BSE,1.0
6896,500940,FINOLEXIND,FINOLEXIND,,-1.0,1,,BSE,5.0
6897,937177,975SFL23A,975SFL23A,,-1.0,1,,BSE,1.0
6898,953986,ECLD6E601A,ECLD6E601A,,-1.0,10,,BSE,1.0
6899,526797,GREENPLY,GREENPLY,,-1.0,1,,BSE,5.0
6900,533428,KTKFMP48G,KTKFMP48G,,-1.0,1,,BSE,1.0
6901,542185,KTKFMP253RG,KTKFMP253RG,,-1.0,1,,BSE,1.0
6902,542124,IPRU3231,IPRU3231,,-1.0,1,,BSE,1.0
6903,540570,VARIMAN,VARIMAN,,-1.0,1,,BSE,5.0
6904,538952,ALFL,ALFL,,-1.0,1,,BSE,1.0
6905,936396,EFL4JAN19A,EFL4JAN19A,,-1.0,1,,BSE,1.0
6906,972724,IFCI59R,IFCI59R,,-1.0,100,,BSE,1.0
6907,531453,MOHITIND,MOHITIND,,-1.0,1,,BSE,1.0
6908,956379,980AVHFIL23,980AVHFIL23,,-1.0,10000,,BSE,1.0
6909,936464,0STFCL24,0STFCL24,,-1.0,1,,BSE,1.0
6910,542593,SDFSC49GR,SDFSC49GR,,-1.0,1,,BSE,1.0
6911,960013,890DBL21B,890DBL21B,,-1.0,1,,BSE,1.0
6912,539785,PDMJEPAPER,PDMJEPAPER,,-1.0,1,,BSE,5.0
6913,524230,RCF,RCF,,-1.0,1,,BSE,5.0
6914,542153,T56FB,T56FB,,-1.0,1,,BSE,1.0
6915,542685,DGCONTENT,DGCONTENT,,-1.0,1,,BSE,1.0
6916,959002,1145SCNL23,1145SCNL23,,-1.0,1,,BSE,1.0
6917,948833,115SEFL23F,115SEFL23F,,-1.0,1,,BSE,1.0
6918,959737,83HLFL22,83HLFL22,,-1.0,1,,BSE,1.0
6919,800268,SGBMAY25,SGBMAY25,,-1.0,1,,BSE,1.0
6920,959618,95VHFCL23,95VHFCL23,,-1.0,1,,BSE,1.0
6921,524396,BIOFILCHEM,BIOFILCHEM,,-1.0,1,,BSE,5.0
6922,955100,975FEL21,975FEL21,,-1.0,1,,BSE,1.0
6923,972365,PIDBSTRPPG,PIDBSTRPPG,,-1.0,1,,BSE,1.0
6924,543192,NCPOAG,NCPOAG,,-1.0,1,,BSE,1.0
6925,959457,68NHPCL27,68NHPCL27,,-1.0,5,,BSE,1.0
6926,531673,ANKIN,ANKIN,,-1.0,1,,BSE,1.0
6927,959474,88BBTCL22,88BBTCL22,,-1.0,1,,BSE,1.0
6928,517500,ROTO,ROTO,,-1.0,1,,BSE,5.0
6929,937085,98EFIL25,98EFIL25,,-1.0,1,,BSE,1.0
6930,541807,IPRU9371,IPRU9371,,-1.0,1,,BSE,1.0
6931,542727,CPML,CPML,,-1.0,4000,,BSE,5.0
6932,521149,PRIMEURB,PRIMEURB,,-1.0,1,,BSE,1.0
6933,526500,STRGRENWO,STRGRENWO,,-1.0,1,,BSE,1.0
6934,958934,1325AFIP25,1325AFIP25,,-1.0,10,,BSE,1.0
6935,958373,95MMFSL22,95MMFSL22,,-1.0,1,,BSE,1.0
6936,937149,957JFPL30,957JFPL30,,-1.0,1,,BSE,1.0
6937,960246,815SCUF22,815SCUF22,,-1.0,1,,BSE,1.0
6938,533605,SETUINFRA,SETUINFRA,,-1.0,1,,BSE,1.0
6939,956314,806ILFS22,806ILFS22,,-1.0,1000,,BSE,1.0
6940,936474,102IFL24,102IFL24,,-1.0,1,,BSE,1.0
6941,531281,PGINDST,PGINDST,,-1.0,1,,BSE,1.0
6942,542852,VISHWARAJ,VISHWARAJ,,-1.0,1,,BSE,5.0
6943,532355,PICTUREHS,PICTUREHS,,-1.0,1,,BSE,1.0
6944,542355,AXISWJQDD,AXISWJQDD,,-1.0,1,,BSE,1.0
6945,972741,1020HDB22,1020HDB22,,-1.0,1,,BSE,1.0
6946,810697,708MAHSDL31,708MAHSDL31,,-1.0,10,,BSE,5.0
6947,959217,12OFSPL2820,12OFSPL2820,,-1.0,50,,BSE,1.0
6948,541547,NXXXVII15Z,NXXXVII15Z,,-1.0,1,,BSE,1.0
6949,720498,DBL250321,DBL250321,,-1.0,1,,BSE,1.0
6950,959052,755IRFC29,755IRFC29,,-1.0,1,,BSE,1.0
6951,960213,730TRIL23,730TRIL23,,-1.0,1,,BSE,1.0
6952,524288,AIMCOPEST,AIMCOPEST,,-1.0,1,,BSE,5.0
6953,958257,915HFSLPER,915HFSLPER,,-1.0,1,,BSE,1.0
6954,936754,1041DLSL22,1041DLSL22,,-1.0,1,,BSE,1.0
6955,540809,MRCEXIM,MRCEXIM,,-1.0,8000,,BSE,1.0
6956,500249,KSB,KSB,,-1.0,1,,BSE,5.0
6957,936280,91ICCL28,91ICCL28,,-1.0,1,,BSE,1.0
6958,956837,1280NGCPL23,1280NGCPL23,,-1.0,1,,BSE,1.0
6959,720734,RIL200521,RIL200521,,-1.0,1,,BSE,1.0
6960,523710,SAYAJIHOTL,SAYAJIHOTL,,-1.0,1,,BSE,5.0
