,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
70980,8083,GBPINR21JUN91.25PE,GBPINR,28JUN2021,912500000.0,1,OPTCUR,CDS,25000.0
70981,13287,USDINR21DEC71.5PE,USDINR,29DEC2021,715000000.0,1,OPTCUR,CDS,25000.0
70982,5866,EURINR2173085.75CE,EURINR,30JUL2021,857500000.0,1,OPTCUR,CDS,25000.0
70983,10764,USDINR2170970.75CE,USDINR,09JUL2021,707500000.0,1,OPTCUR,CDS,25000.0
70984,8934,EURINR2170295.5CE,EURINR,02JUL2021,955000000.0,1,OPTCUR,CDS,25000.0
70985,2184,EURINR21DEC92PE,EURINR,29DEC2021,920000000.0,1,OPTCUR,CDS,25000.0
70986,11032,USDJPY21JUL115PE,USDJPY,28JUL2021,1150000000.0,1,OPTCUR,CDS,100000.0
70987,10237,EURINR21MAY84.5CE,EURINR,27MAY2021,845000000.0,1,OPTCUR,CDS,25000.0
70988,4272,GBPINR21618109CE,GBPINR,18JUN2021,1090000000.0,1,OPTCUR,CDS,25000.0
70989,9219,GBPINR21528111CE,GBPINR,28MAY2021,1110000000.0,1,OPTCUR,CDS,25000.0
70990,11372,JPYINR2171661CE,JPYINR,16JUL2021,610000000.0,1,OPTCUR,CDS,25000.0
70991,3273,EURINR21SEP88.75CE,EURINR,28SEP2021,887500000.0,1,OPTCUR,CDS,25000.0
70992,1801,585GS203022MARFUT,585GS2030,31MAR2022,-1.0,1,FUTIRC,CDS,25000.0
70993,9227,GBPINR21604111CE,GBPINR,04JUN2021,1110000000.0,1,OPTCUR,CDS,25000.0
70994,4716,USDINR2161179.5PE,USDINR,11JUN2021,795000000.0,1,OPTCUR,CDS,25000.0
70995,10087,GBPINR21806100.75PE,GBPINR,06AUG2021,1007500000.0,1,OPTCUR,CDS,25000.0
70996,1212,GBPINR21618107.75CE,GBPINR,18JUN2021,1077500000.0,1,OPTCUR,CDS,25000.0
70997,12625,USDJPY21DEC118CE,USDJPY,29DEC2021,1180000000.0,1,OPTCUR,CDS,100000.0
70998,9282,GBPINR21DEC110.5PE,GBPINR,29DEC2021,1105000000.0,1,OPTCUR,CDS,25000.0
70999,1283,GBPINR21SEP101.25CE,GBPINR,28SEP2021,1012500000.0,1,OPTCUR,CDS,25000.0
71000,7084,GBPINR21625108.25CE,GBPINR,25JUN2021,1082500000.0,1,OPTCUR,CDS,25000.0
71001,3908,GBPINR21SEP105CE,GBPINR,28SEP2021,1050000000.0,1,OPTCUR,CDS,25000.0
