,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
84300,224395,GOLD21JUL50600PE,GOLD,27JUL2021,5060000.0,1,OPTFUT,MCX,50.0
84301,229650,GOLDM21AUGFUT,GOLDM,05AUG2021,0.0,100,FUTCOM,MCX,100.0
84302,365,IGOLDAHMCOM,IGOLDAHM,,0.0,1,COMDTY,MCX,100.0
84303,228607,GOLDM21JUN44600CE,GOLDM,04JUN2021,4460000.0,100,OPTCOM,MCX,50.0
84304,223354,GOLD21MAY55400CE,GOLD,26MAY2021,5540000.0,1,OPTFUT,MCX,50.0
84305,227184,LEAD21JUNFUT,LEAD,30JUN2021,0.0,5,FUTCOM,MCX,5.0
84306,228731,CRUDEOIL21JUN4650CE,CRUDEOIL,17JUN2021,465000.0,100,OPTFUT,MCX,10.0
84307,224177,GOLD21JUL54200CE,GOLD,27JUL2021,5420000.0,1,OPTFUT,MCX,50.0
84308,227432,GOLD21SEP44000CE,GOLD,24SEP2021,4400000.0,1,OPTFUT,MCX,50.0
84309,221705,SILVER21JUN60250CE,SILVER,24JUN2021,6025000.0,30,OPTFUT,MCX,50.0
84310,229745,GOLDM21AUG46000CE,GOLDM,05AUG2021,4600000.0,100,OPTCOM,MCX,50.0
84311,359,SFRNCOLMUMCOM,SFRNCOLMUM,,0.0,10,COMDTY,MCX,5.0
84312,227372,GOLD21MAY44800CE,GOLD,26MAY2021,4480000.0,1,OPTFUT,MCX,50.0
84313,230049,CRUDEOIL21AUG4100PE,CRUDEOIL,17AUG2021,410000.0,100,OPTFUT,MCX,10.0
84314,225415,GOLD21SEP48600PE,GOLD,24SEP2021,4860000.0,1,OPTFUT,MCX,50.0
84315,226572,GOLD21NOV49300CE,GOLD,24NOV2021,4930000.0,1,OPTFUT,MCX,50.0
84316,227180,ALUMINIUM21JUNFUT,ALUMINIUM,30JUN2021,0.0,5,FUTCOM,MCX,5.0
84317,224142,GOLD21JUL52400PE,GOLD,27JUL2021,5240000.0,1,OPTFUT,MCX,50.0
84318,227294,SILVER21NOV84250CE,SILVER,24NOV2021,8425000.0,30,OPTFUT,MCX,50.0
84319,228269,GOLD22JAN44100PE,GOLD,25JAN2022,4410000.0,1,OPTFUT,MCX,50.0
84320,225659,GOLD21SEP54200PE,GOLD,24SEP2021,5420000.0,1,OPTFUT,MCX,50.0
84321,229376,COPPER21JUN790CE,COPPER,21JUN2021,79000.0,2500,OPTFUT,MCX,1.0
84322,220994,GOLD21MAY50200CE,GOLD,26MAY2021,5020000.0,1,OPTFUT,MCX,50.0
84323,220841,GOLD21MAY47000CE,GOLD,26MAY2021,4700000.0,1,OPTFUT,MCX,50.0
84324,229972,GOLD22JAN52700CE,GOLD,25JAN2022,5270000.0,1,OPTFUT,MCX,50.0
84325,226982,SILVER21NOV80500PE,SILVER,24NOV2021,8050000.0,30,OPTFUT,MCX,50.0
84326,223454,SILVER21JUN78250CE,SILVER,24JUN2021,7825000.0,30,OPTFUT,MCX,50.0
84327,224828,SILVER21AUG64000PE,SILVER,25AUG2021,6400000.0,30,OPTFUT,MCX,50.0
84328,229564,SILVER22FEB73000CE,SILVER,23FEB2022,7300000.0,30,OPTFUT,MCX,50.0
84329,230109,CRUDEOIL21AUG3850PE,CRUDEOIL,17AUG2021,385000.0,100,OPTFUT,MCX,10.0
84330,230010,SILVER22APR83750CE,SILVER,26APR2022,8375000.0,30,OPTFUT,MCX,50.0
84331,228737,CRUDEOIL21JUN4800CE,CRUDEOIL,17JUN2021,480000.0,100,OPTFUT,MCX,10.0
84332,229134,GOLD22MAR46900CE,GOLD,25MAR2022,4690000.0,1,OPTFUT,MCX,50.0
84333,222337,GOLD21MAY53400CE,GOLD,26MAY2021,5340000.0,1,OPTFUT,MCX,50.0
84334,228889,COPPER21JUL700CE,COPPER,21JUL2021,70000.0,2500,OPTFUT,MCX,1.0
84335,224981,GOLD21JUL48400CE,GOLD,27JUL2021,4840000.0,1,OPTFUT,MCX,50.0
84336,228801,GOLD22JAN51500PE,GOLD,25JAN2022,5150000.0,1,OPTFUT,MCX,50.0
84337,228745,CRUDEOIL21JUN5000CE,CRUDEOIL,17JUN2021,500000.0,100,OPTFUT,MCX,10.0
84338,228463,GOLD21MAY42200PE,GOLD,26MAY2021,4220000.0,1,OPTFUT,MCX,50.0
84339,229349,CRUDEOIL21JUL3900PE,CRUDEOIL,15JUL2021,390000.0,100,OPTFUT,MCX,10.0
84340,228814,GOLD21JUL42400CE,GOLD,27JUL2021,4240000.0,1,OPTFUT,MCX,50.0
84341,229990,GOLD22MAR53400CE,GOLD,25MAR2022,5340000.0,1,OPTFUT,MCX,50.0
84342,228467,GOLD21MAY42400PE,GOLD,26MAY2021,4240000.0,1,OPTFUT,MCX,50.0
84343,228722,CRUDEOIL21JUN4400PE,CRUDEOIL,17JUN2021,440000.0,100,OPTFUT,MCX,10.0
