,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
88207,GUARGUM518NOV2021,GUARGUM518NOV2021,GUARGUM5,18NOV2021,-1.0,5,FUTCOM,NCDEX,100.0
88208,SYBEANIDR20JUL21PE6000S,SYBEANIDR20JUL21PE6000S,SYBEANIDR,20JUL2021,600000.0,5,OPTFUT,NCDEX,100.0
88209,GUARSEED1020SEP21CE4300S,GUARSEED1020SEP21CE4300S,GUARSEED10,20SEP2021,430000.0,5,OPTFUT,NCDEX,50.0
88210,SYBEANIDR18JUN21PE7050S,SYBEANIDR18JUN21PE7050S,SYBEANIDR,18JUN2021,705000.0,5,OPTFUT,NCDEX,100.0
88211,WHEATFAQ20JUL21PE1940S,WHEATFAQ20JUL21PE1940S,WHEATFAQ,20JUL2021,194000.0,10,OPTFUT,NCDEX,50.0
88212,MAIZEKHRF,MAIZEKHRF,MAIZEKHRF,,-1.0,1,COMDTY,NCDEX,1.0
88213,SYBEANIDR18JUN21CE7450S,SYBEANIDR18JUN21CE7450S,SYBEANIDR,18JUN2021,745000.0,5,OPTFUT,NCDEX,100.0
88214,SYBEANIDR20AUG21PE4200S,SYBEANIDR20AUG21PE4200S,SYBEANIDR,20AUG2021,420000.0,5,OPTFUT,NCDEX,100.0
88215,SYBEANIDR20AUG21CE7200S,SYBEANIDR20AUG21CE7200S,SYBEANIDR,20AUG2021,720000.0,5,OPTFUT,NCDEX,100.0
88216,SYBEANIDR20AUG21PE4950S,SYBEANIDR20AUG21PE4950S,SYBEANIDR,20AUG2021,495000.0,5,OPTFUT,NCDEX,100.0
88217,SYBEANIDR20AUG21PE6800S,SYBEANIDR20AUG21PE6800S,SYBEANIDR,20AUG2021,680000.0,5,OPTFUT,NCDEX,100.0
88218,CHANA20JUL21PE4300S,CHANA20JUL21PE4300S,CHANA,20JUL2021,430000.0,10,OPTFUT,NCDEX,50.0
88219,RMSEED18JUN21CE7700S,RMSEED18JUN21CE7700S,RMSEED,18JUN2021,770000.0,10,OPTFUT,NCDEX,50.0
88220,WHEATFAQ18JUN21CE1890S,WHEATFAQ18JUN21CE1890S,WHEATFAQ,18JUN2021,189000.0,10,OPTFUT,NCDEX,50.0
88221,RMSEED20JUL21PE4750S,RMSEED20JUL21PE4750S,RMSEED,20JUL2021,475000.0,10,OPTFUT,NCDEX,50.0
88222,MAIZE18JUN21CE1550S,MAIZE18JUN21CE1550S,MAIZE,18JUN2021,155000.0,10,OPTFUT,NCDEX,50.0
88223,MAIZE18JUN21PE1575S,MAIZE18JUN21PE1575S,MAIZE,18JUN2021,157500.0,10,OPTFUT,NCDEX,50.0
88224,SYBEANIDR20DEC21PE5850S,SYBEANIDR20DEC21PE5850S,SYBEANIDR,20DEC2021,585000.0,5,OPTFUT,NCDEX,100.0
88225,GUARSEED1020OCT21CE3950S,GUARSEED1020OCT21CE3950S,GUARSEED10,20OCT2021,395000.0,5,OPTFUT,NCDEX,50.0
88226,WHEATFAQ20SEP21PE1950S,WHEATFAQ20SEP21PE1950S,WHEATFAQ,20SEP2021,195000.0,10,OPTFUT,NCDEX,50.0
88227,WHEATFAQ20SEP21PE2000S,WHEATFAQ20SEP21PE2000S,WHEATFAQ,20SEP2021,200000.0,10,OPTFUT,NCDEX,50.0
88228,RMSEED18JUN21CE5200S,RMSEED18JUN21CE5200S,RMSEED,18JUN2021,520000.0,10,OPTFUT,NCDEX,50.0
88229,GUARGUM520AUG21PE6800S,GUARGUM520AUG21PE6800S,GUARGUM5,20AUG2021,680000.0,5,OPTFUT,NCDEX,50.0
88230,GUARSEED1018JUN21PE4600S,GUARSEED1018JUN21PE4600S,GUARSEED10,18JUN2021,460000.0,5,OPTFUT,NCDEX,50.0
88231,SYBEANIDR18JUN21PE5950S,SYBEANIDR18JUN21PE5950S,SYBEANIDR,18JUN2021,595000.0,5,OPTFUT,NCDEX,100.0
88232,MAIZE18JUN21PE1625S,MAIZE18JUN21PE1625S,MAIZE,18JUN2021,162500.0,10,OPTFUT,NCDEX,50.0
88233,SYBEANIDR20DEC21CE5550S,SYBEANIDR20DEC21CE5550S,SYBEANIDR,20DEC2021,555000.0,5,OPTFUT,NCDEX,100.0
88234,CHANA20SEP21CE5750S,CHANA20SEP21CE5750S,CHANA,20SEP2021,575000.0,10,OPTFUT,NCDEX,50.0
88235,WHEATFAQ20AUG21PE1780S,WHEATFAQ20AUG21PE1780S,WHEATFAQ,20AUG2021,178000.0,10,OPTFUT,NCDEX,50.0
88236,GUARGUM518JUN21PE6700S,GUARGUM518JUN21PE6700S,GUARGUM5,18JUN2021,670000.0,5,OPTFUT,NCDEX,50.0
88237,RMSEED,RMSEED,RMSEED,,-1.0,1,COMDTY,NCDEX,1.0
88238,CHANA20JUL21PE4950S,CHANA20JUL21PE4950S,CHANA,20JUL2021,495000.0,10,OPTFUT,NCDEX,50.0
88239,SYBEANIDR20SEP21PE5000S,SYBEANIDR20SEP21PE5000S,SYBEANIDR,20SEP2021,500000.0,5,OPTFUT,NCDEX,100.0
88240,GUARSEED1020SEP21CE4450S,GUARSEED1020SEP21CE4450S,GUARSEED10,20SEP2021,445000.0,5,OPTFUT,NCDEX,50.0
88241,SYBEANIDR20JUL21PE6550S,SYBEANIDR20JUL21PE6550S,SYBEANIDR,20JUL2021,655000.0,5,OPTFUT,NCDEX,100.0
88242,SYBEANIDR20AUG21PE6200S,SYBEANIDR20AUG21PE6200S,SYBEANIDR,20AUG2021,620000.0,5,OPTFUT,NCDEX,100.0
88243,RMSEED20SEP21PE7500S,RMSEED20SEP21PE7500S,RMSEED,20SEP2021,750000.0,10,OPTFUT,NCDEX,50.0
88244,SYBEANIDR20AUG21PE7350S,SYBEANIDR20AUG21PE7350S,SYBEANIDR,20AUG2021,735000.0,5,OPTFUT,NCDEX,100.0
88245,RMSEED18JUN21PE7200S,RMSEED18JUN21PE7200S,RMSEED,18JUN2021,720000.0,10,OPTFUT,NCDEX,50.0
88246,WHEATFAQ20AUG21PE1840S,WHEATFAQ20AUG21PE1840S,WHEATFAQ,20AUG2021,184000.0,10,OPTFUT,NCDEX,50.0
88247,GUARGUM520OCT21PE6600S,GUARGUM520OCT21PE6600S,GUARGUM5,20OCT2021,660000.0,5,OPTFUT,NCDEX,50.0
88248,CHANA20JUL21PE4700S,CHANA20JUL21PE4700S,CHANA,20JUL2021,470000.0,10,OPTFUT,NCDEX,50.0
88249,WHEATFAQ20SEP21CE1860S,WHEATFAQ20SEP21CE1860S,WHEATFAQ,20SEP2021,186000.0,10,OPTFUT,NCDEX,50.0
88250,GUARSEED1018JUN21CE3450S,GUARSEED1018JUN21CE3450S,GUARSEED10,18JUN2021,345000.0,5,OPTFUT,NCDEX,50.0
88251,SYBEANIDR18NOV21PE6250S,SYBEANIDR18NOV21PE6250S,SYBEANIDR,18NOV2021,625000.0,5,OPTFUT,NCDEX,100.0
88252,RMSEED18JUN21CE5400S,RMSEED18JUN21CE5400S,RMSEED,18JUN2021,540000.0,10,OPTFUT,NCDEX,50.0
88253,WHEATFAQ18JUN21CE1910S,WHEATFAQ18JUN21CE1910S,WHEATFAQ,18JUN2021,191000.0,10,OPTFUT,NCDEX,50.0
88254,CHANA20JUL21CE5900S,CHANA20JUL21CE5900S,CHANA,20JUL2021,590000.0,10,OPTFUT,NCDEX,50.0
88255,GUARGUM518NOV21CE7500S,GUARGUM518NOV21CE7500S,GUARGUM5,18NOV2021,750000.0,5,OPTFUT,NCDEX,50.0
88256,CHANA20AUG21PE4750S,CHANA20AUG21PE4750S,CHANA,20AUG2021,475000.0,10,OPTFUT,NCDEX,50.0
88257,GUARSEED1020AUG21CE4350S,GUARSEED1020AUG21CE4350S,GUARSEED10,20AUG2021,435000.0,5,OPTFUT,NCDEX,50.0
88258,SYBEANIDR20SEP21CE6900S,SYBEANIDR20SEP21CE6900S,SYBEANIDR,20SEP2021,690000.0,5,OPTFUT,NCDEX,100.0
