,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
19480,105278,M&M27MAY21900CE,M&M,27MAY2021,90000.0,700,OPTSTK,NFO,5.0
19481,107851,SBIN29JUL21420PE,SBIN,29JUL2021,42000.0,1500,OPTSTK,NFO,5.0
19482,63551,ESCORTS29JUL211440CE,ESCORTS,29JUL2021,144000.0,550,OPTSTK,NFO,5.0
19483,123518,VOLTAS27MAY211130PE,VOLTAS,27MAY2021,113000.0,500,OPTSTK,NFO,5.0
19484,79459,DEEPAKNTR24JUN211080PE,DEEPAKNTR,24JUN2021,108000.0,500,OPTSTK,NFO,5.0
19485,103498,NATIONALUM29JUL2141CE,NATIONALUM,29JUL2021,4100.0,17000,OPTSTK,NFO,5.0
19486,51056,BANKNIFTY17JUN2134800CE,BANKNIFTY,17JUN2021,3480000.0,25,OPTIDX,NFO,5.0
19487,53810,NIFTY17JUN2116400PE,NIFTY,17JUN2021,1640000.0,75,OPTIDX,NFO,5.0
19488,64924,GLENMARK29JUL21395CE,GLENMARK,29JUL2021,39500.0,1150,OPTSTK,NFO,5.0
19489,68183,HDFC29JUL212850CE,HDFC,29JUL2021,285000.0,300,OPTSTK,NFO,5.0
19490,92980,INFY24JUN211220PE,INFY,24JUN2021,122000.0,600,OPTSTK,NFO,5.0
19491,96450,MRF24JUN2185500PE,MRF,24JUN2021,8550000.0,10,OPTSTK,NFO,5.0
19492,65098,APLLTD27MAY21720CE,APLLTD,27MAY2021,72000.0,550,OPTSTK,NFO,5.0
19493,85838,GODREJCP24JUN21560CE,GODREJCP,24JUN2021,56000.0,1000,OPTSTK,NFO,5.0
19494,81617,ESCORTS24JUN211260PE,ESCORTS,24JUN2021,126000.0,550,OPTSTK,NFO,5.0
19495,91076,HDFCLIFE24JUN21520PE,HDFCLIFE,24JUN2021,52000.0,1100,OPTSTK,NFO,5.0
19496,120119,RAMCOCEM27MAY211170CE,RAMCOCEM,27MAY2021,117000.0,850,OPTSTK,NFO,5.0
19497,106567,PVR29JUL21920PE,PVR,29JUL2021,92000.0,407,OPTSTK,NFO,5.0
19498,83136,FEDERALBNK24JUN2195CE,FEDERALBNK,24JUN2021,9500.0,10000,OPTSTK,NFO,5.0
19499,99545,PAGEIND24JUN2119500PE,PAGEIND,24JUN2021,1950000.0,30,OPTSTK,NFO,5.0
19500,53432,BANKNIFTY17JUN2137100PE,BANKNIFTY,17JUN2021,3710000.0,25,OPTIDX,NFO,5.0
19501,107546,RECLTD24JUN21115CE,RECLTD,24JUN2021,11500.0,6000,OPTSTK,NFO,5.0
19502,57713,BALKRISIND29JUL212000PE,BALKRISIND,29JUL2021,200000.0,400,OPTSTK,NFO,5.0
19503,77061,IDFCFIRSTB29JUL2144PE,IDFCFIRSTB,29JUL2021,4400.0,9500,OPTSTK,NFO,5.0
19504,75242,CIPLA24JUN211030PE,CIPLA,24JUN2021,103000.0,650,OPTSTK,NFO,5.0
19505,107852,SBIN29JUL21425CE,SBIN,29JUL2021,42500.0,1500,OPTSTK,NFO,5.0
