,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
0,13287,M&MFIN-BL,M&MFIN,,-1.0,1,,NSE,5.0
1,11032,SANGINITA-EQ,SANGINITA,,-1.0,1,,NSE,5.0
2,10237,UTRQP31P15-MF,UTRQP31P15,,-1.0,1,,NSE,1.0
3,4272,ECLFINANCE-NF,ECLFINANCE,,-1.0,1,,NSE,1.0
4,9219,TPLPLASTEH-EQ,TPLPLASTEH,,-1.0,1,,NSE,5.0
5,11372,TTKHLTCARE-BL,TTKHLTCARE,,-1.0,1,,NSE,5.0
6,3273,SRF-EQ,SRF,,-1.0,1,,NSE,5.0
7,20314,NRAIL-EQ,NRAIL,,-1.0,1,,NSE,5.0
8,3578,696TN51-SG,696TN51,,-1.0,100,,NSE,1.0
9,8054,KTKBANK-EQ,KTKBANK,,-1.0,1,,NSE,5.0
10,9227,L&TFINANCE-NE,L&TFINANCE,,-1.0,1,,NSE,1.0
11,12413,GSFC-BL,GSFC,,-1.0,1,,NSE,5.0
12,4716,UTIDFP30P3-MF,UTIDFP30P3,,-1.0,1,,NSE,1.0
13,12223,ATFL-BL,ATFL,,-1.0,1,,NSE,5.0
14,7913,LFIC-BL,LFIC,,-1.0,1,,NSE,5.0
15,1212,635MH28-SG,635MH28,,-1.0,100,,NSE,1.0
16,12625,NBVENTURES-BL,NBVENTURES,,-1.0,1,,NSE,5.0
17,12074,63MOONS-BL,63MOONS,,-1.0,1,,NSE,5.0
18,8293,H1175D43DQ-MF,H1175D43DQ,,-1.0,1,,NSE,1.0
19,22177,735WB30-SG,735WB30,,-1.0,100,,NSE,1.0
20,31968,NHBTF2014-N4,NHBTF2014,,-1.0,1,,NSE,1.0
21,4212,UCL-SM,UCL,,-1.0,2000,,NSE,5.0
22,3908,PREMIERPOL-EQ,PREMIERPOL,,-1.0,1,,NSE,5.0
23,12454,HIL-BL,HIL,,-1.0,1,,NSE,5.0
24,10828,SEYAIND-EQ,SEYAIND,,-1.0,1,,NSE,5.0
25,42,677WB40-SG,677WB40,,-1.0,100,,NSE,1.0
26,19694,JITFINFRA-BL,JITFINFRA,,-1.0,1,,NSE,5.0
27,7361,SETFNIFBK-EQ,SETFNIFBK,,-1.0,1,,NSE,1.0
28,7263,UTRAP30P13-MF,UTRAP30P13,,-1.0,1,,NSE,1.0
29,1571,RVHL-BL,RVHL,,-1.0,1,,NSE,5.0
30,6149,SRTRANSFIN-YP,SRTRANSFIN,,-1.0,1,,NSE,1.0
31,9233,L&TFINANCE-NH,L&TFINANCE,,-1.0,1,,NSE,1.0
32,7411,NILASPACES-EQ,NILASPACES,,-1.0,1,,NSE,5.0
33,17152,ICICIM150-EQ,ICICIM150,,-1.0,1,,NSE,1.0
34,16672,BAJAJ-AUTO-BL,BAJAJ-AUTO,,-1.0,1,,NSE,5.0
35,913,EQUITASBNK-EQ,EQUITASBNK,,-1.0,1,,NSE,5.0
36,24085,UFIAIPRGII-MF,UFIAIPRGII,,-1.0,1,,NSE,1.0
37,3079,698PY33-SG,698PY33,,-1.0,100,,NSE,1.0
38,212,ASHOKLEY-EQ,ASHOKLEY,,-1.0,1,,NSE,5.0
39,2497,SILGO-BL,SILGO,,-1.0,1,,NSE,5.0
40,701,HEMIPROP-EQ,HEMIPROP,,-1.0,1,,NSE,5.0
41,14712,HGS-EQ,HGS,,-1.0,1,,NSE,5.0
42,13182,ROHLTD-EQ,ROHLTD,,-1.0,1,,NSE,5.0
43,16990,COUNCODOS-BL,COUNCODOS,,-1.0,1,,NSE,5.0
44,1715,66RJ30C-SG,66RJ30C,,-1.0,100,,NSE,1.0
45,4378,ICICISENSX-EQ,ICICISENSX,,-1.0,1,,NSE,1.0
46,4238,ABSLFTQPRQ-MF,ABSLFTQPRQ,,-1.0,1,,NSE,1.0
47,10083,EMAMIPAP-BL,EMAMIPAP,,-1.0,1,,NSE,5.0
48,21332,BHAGYAPROP-EQ,BHAGYAPROP,,-1.0,1,,NSE,5.0
49,2602,H1177D39DQ-MF,H1177D39DQ,,-1.0,1,,NSE,1.0
50,22152,730WB29-SG,730WB29,,-1.0,100,,NSE,1.0
51,15145,COLPAL-BL,COLPAL,,-1.0,1,,NSE,5.0
52,21729,MATRIMONY-BL,MATRIMONY,,-1.0,1,,NSE,5.0
53,4516,UTIRQP30P2-MF,UTIRQP30P2,,-1.0,1,,NSE,1.0
54,9148,DHANILOANS-N4,DHANILOANS,,-1.0,1,,NSE,1.0
55,3873,H1124D41RQ-MF,H1124D41RQ,,-1.0,1,,NSE,1.0
56,17553,FIIOF2GP-MF,FIIOF2GP,,-1.0,1,,NSE,1.0
57,21902,577KL25-SG,577KL25,,-1.0,100,,NSE,1.0
58,11532,ULTRACEMCO-EQ,ULTRACEMCO,,-1.0,1,,NSE,5.0
59,2200,SGBFEB29XI-GB,SGBFEB29XI,,-1.0,1,,NSE,1.0
60,16783,GET&D-EQ,GET&D,,-1.0,1,,NSE,5.0
61,20148,69GA30-SG,69GA30,,-1.0,100,,NSE,1.0
62,497,SGBNOV258-GB,SGBNOV258,,-1.0,1,,NSE,1.0
63,18434,BIGBLOC-BL,BIGBLOC,,-1.0,1,,NSE,5.0
64,11971,GOLDIAM-EQ,GOLDIAM,,-1.0,1,,NSE,5.0
65,22088,70UP30-SG,70UP30,,-1.0,100,,NSE,1.0
66,13658,GEECEE-EQ,GEECEE,,-1.0,1,,NSE,5.0
67,2134,698AS31-SG,698AS31,,-1.0,100,,NSE,1.0
68,4210,FIMPS4BQDP-MF,FIMPS4BQDP,,-1.0,1,,NSE,1.0
69,3443,UTIDFP29P5-MF,UTIDFP29P5,,-1.0,1,,NSE,1.0
70,3137,ABSLFTPURN-MF,ABSLFTPURN,,-1.0,1,,NSE,1.0
71,25263,UFIAIPRGIV-MF,UFIAIPRGIV,,-1.0,1,,NSE,1.0
72,22410,663KA30-SG,663KA30,,-1.0,100,,NSE,1.0
73,10948,STCINDIA-EQ,STCINDIA,,-1.0,1,,NSE,5.0
74,96,CMMIPL-SM,CMMIPL,,-1.0,3000,,NSE,5.0
75,16292,PANACHE-EQ,PANACHE,,-1.0,1,,NSE,5.0
76,4334,SRTRANSFIN-YB,SRTRANSFIN,,-1.0,1,,NSE,1.0
77,12622,NATCOPHARM-BL,NATCOPHARM,,-1.0,1,,NSE,5.0
78,7829,UTRQP31P01-MF,UTRQP31P01,,-1.0,1,,NSE,1.0
79,8249,UTDMP31P02-MF,UTDMP31P02,,-1.0,1,,NSE,1.0
80,1476,IDBI-EQ,IDBI,,-1.0,1,,NSE,5.0
81,21072,UTCPOR9GR2-MF,UTCPOR9GR2,,-1.0,1,,NSE,1.0
82,18374,NDGL-BL,NDGL,,-1.0,1,,NSE,5.0
83,17647,COMPINFO-BL,COMPINFO,,-1.0,1,,NSE,5.0
84,31237,SCHNEIDER-BL,SCHNEIDER,,-1.0,1,,NSE,5.0
